"Title","ID","Created Date","Updated Date","Owner","Code"
"PANASONIC CX-442-P-Z","857f4a44-c1d6-42cc-9097-156fb094d4f2",2024-07-04T16:03:30Z,2024-07-04T16:04:00Z,"8901a580-8b7d-4cf0-9262-299d87e21186","CX-442-P-Z"
"PANASONIC CX-423-P-Z","86598f4c-aa0c-46e5-80e1-31e91e46003e",2024-07-04T16:03:29Z,2024-07-04T16:03:53Z,"8901a580-8b7d-4cf0-9262-299d87e21186","CX-423-P-Z"
"BALLUF BCC034U","878a3071-ec5c-4b1f-81c2-307b87991c24",2024-07-04T15:43:19Z,2024-07-04T15:43:29Z,"8901a580-8b7d-4cf0-9262-299d87e21186","BCC M425-0000-1A-004-UX8334-050"
"FU-31","880412a3-6588-4a0b-a885-fa724ce60f35",2024-07-04T15:49:32Z,2024-07-04T15:49:51Z,"8901a580-8b7d-4cf0-9262-299d87e21186","FU-31"
"PANASONIC CX-422-P-Z","88fc9f45-f024-467c-a95b-6d8140016fbe",2024-07-04T16:03:29Z,2024-07-04T16:03:46Z,"8901a580-8b7d-4cf0-9262-299d87e21186","CX-422-P-Z"
"BALLUF BES01C7","890c4eb2-5892-4535-8bd0-b2f104148cee",2024-07-04T15:43:46Z,2024-07-04T15:43:57Z,"8901a580-8b7d-4cf0-9262-299d87e21186","BES 516-325-G-E5-Y-S4"
"KLASCHKA HAD-11ms60b2,5-5Y3","893bcb5c-4c13-4a3e-9ac3-efcc8692707b",2024-07-04T15:54:09Z,2024-07-04T15:56:04Z,"8901a580-8b7d-4cf0-9262-299d87e21186","HAD-11ms60b2,5-5Y3 132654"
"LEUZE HRTR 3B/66.200-S8","896e9178-2cd3-43d3-9462-cf57ebb536b8",2024-07-04T15:57:58Z,2024-07-04T15:58:18Z,"8901a580-8b7d-4cf0-9262-299d87e21186","LEUZE 50107230 LEUZE HRTR 3B/66.200-S8"
"AECO SMC-10 NO LC 10","8b2b64f3-d899-4d53-b890-841c16cf0688",2024-07-04T15:42:39Z,2024-07-04T15:42:46Z,"8901a580-8b7d-4cf0-9262-299d87e21186","AECO SMC000086"
"SCHMERSAL BPS 250","8b85f9fc-4f4f-4a5f-8051-b68a533b7328",2024-07-04T16:05:22Z,2024-07-04T16:05:28Z,"8901a580-8b7d-4cf0-9262-299d87e21186","101120594"
"SCHMERSAL SRB301MC-24V","8e8d01f2-02c2-44b1-befc-d78bc3ea0a24",2024-07-04T16:05:29Z,2024-07-04T16:05:42Z,"8901a580-8b7d-4cf0-9262-299d87e21186","101190684"
"EUCHNER TP3-4121A024M","8e91a567-a082-4993-92df-99e69d4982b0",2024-07-04T15:48:05Z,2024-07-04T15:49:10Z,"8901a580-8b7d-4cf0-9262-299d87e21186","EUCHNER 084135 EUCHNER TP3-4121A024M "
"EUCHNER EGT1/4R2000","900517a6-d186-418a-ae4d-bca00c349799",2024-07-04T15:47:06Z,2024-07-04T15:47:47Z,"8901a580-8b7d-4cf0-9262-299d87e21186","EUCHNER 093911 EUCHNER EGT1/4R2000"
"IFM PN3096","90328c93-e414-4c8b-9538-72f36035c6fd",2024-07-04T15:52:43Z,2024-07-04T15:53:32Z,"8901a580-8b7d-4cf0-9262-299d87e21186","PN3096"
"LEUZE ODSL 8/V66-500-S12","9220195b-3bff-4da0-9c2b-942e8142c61a",2024-07-04T15:59:00Z,2024-07-04T15:59:15Z,"8901a580-8b7d-4cf0-9262-299d87e21186","LEUZE 50101879 LEUZE ODSL 8/V66-500-S12"
"AECO SIQ80-CE50 PNP NO/NC K","93f44f32-9df6-46ac-96f1-eb3b3da84332",2024-07-04T15:42:20Z,2024-07-04T15:42:27Z,"8901a580-8b7d-4cf0-9262-299d87e21186","AECO SIP000116"
"IFM IL5021","941419d0-fabb-4a6a-a47d-e319319acae3",2024-07-04T15:51:39Z,2024-07-04T15:52:17Z,"8901a580-8b7d-4cf0-9262-299d87e21186","IL5021"
